Date,Account,Description,Amount
2025-01-04,Service Income,Spokane restoration income,16420
2025-01-10,Equipment,Portable extraction machine package,-2480
2025-01-12,Repairs & Maintenance,Vacuum motor rebuild and service,-860
2025-02-08,Tools,"Meters, hoses, nozzles, filters",-1425
2025-03-15,Service Income,Commercial mold cleanup,18950
2025-04-03,Insurance,Owner health insurance reimbursement note,-980
2025-05-14,Service Income,Coeur d'Alene emergency cleanout,5240
2025-05-18,Repairs & Maintenance,Van shelving retrofit and tie-downs,-1190
2025-06-11,Equipment,Floor scrubber attachment kit,-890
2025-07-09,Service Income,Spokane restoration income,17330
