Date,Account,Description,Amount
2025-01-05,Service Income,Spokane cleaning income,11850
2025-01-17,Payroll Expense,Payroll run for two employees,-2650
2025-02-11,Sales Tax Payable,WA sales tax collected on retail add-ons,-440
2025-02-15,Contract Labor,1099 contractor deep clean crew,-1850
2025-03-08,Supplies,Inventory stock for resale air filters,-940
2025-03-30,Service Income,Idaho move-out cleaning income,6240
2025-04-14,COGS,Inventory stock replacement,-730
2025-05-03,Payroll Expense,Payroll with overtime wages,-2890
2025-05-22,Contract Labor,Freelance carpet specialist,-1225
2025-06-29,Service Income,June Spokane cleaning income,13220
